playerID,year,stint,tmID,dRebounds,dq,pos,height,weight,college,birthYear,award,confID,rank,playoff,firstRound,semis,finals,won,lost,homeW,homeL,awayW,awayL,confW,confL,min,attend,W,L,PER,TS%,eFG%,stocks
batkosu01w,10,0,SEA,20,0,C,76.0,203,0,1980,[],WE,2,1,010,001,001,20,14,13,4,7,10,13,7,7025,133858,1.0,2.0,10.393568980436472,50.515907136715384,52.32558139534884,11
batteja01w,6,0,MIN,5,0,F,73.0,163,1,1983,[],WE,6,0,001,001,001,14,20,11,6,3,14,9,13,6850,113447,0.0,0.0,0.0,0.0,0.0,1
batteja01w,7,0,DET,12,0,F,73.0,163,1,1983,[],EA,2,1,100,100,100,23,11,14,3,9,8,14,6,6825,159453,7.0,3.0,8.41292301153679,31.534688156972674,29.629629629629626,5
battlas01w,6,0,SEA,2,0,F,72.0,170,1,1982,[],WE,2,1,010,001,001,20,14,14,3,6,11,13,9,6825,151150,1.0,2.0,9.542314507043521,50.0,50.0,0
battlas01w,7,0,NYL,49,0,F,72.0,170,1,1982,[],EA,5,0,001,001,001,11,23,7,10,4,13,7,13,6875,155048,0.0,0.0,13.414901744535639,47.03947368421053,43.61702127659575,34
battlas01w,8,0,NYL,94,0,F,72.0,170,1,1982,[],EA,4,1,010,001,001,16,18,10,7,6,11,10,10,6850,147866,1.0,2.0,15.468620854503857,46.74977738201247,42.41803278688525,37
battlas01w,9,0,NYL,35,0,F,72.0,170,1,1982,[],EA,3,1,100,010,001,19,15,11,6,8,9,11,9,6900,153772,3.0,3.0,15.053645619095805,50.416666666666664,43.36734693877551,16
battlas01w,10,0,NYL,68,0,F,72.0,170,1,1982,[],EA,7,0,001,001,001,13,21,8,9,5,12,9,13,6900,166604,0.0,0.0,12.567092211029072,52.60342368045649,48.986486486486484,33
bauerca01w,1,0,CHA,36,1,F-C,76.0,180,1,1972,[],EA,8,0,001,001,001,8,24,5,11,3,13,5,16,6475,90963,0.0,0.0,9.032203256921314,46.77498769079271,40.27777777777778,11
bauerca01w,2,0,WAS,10,0,F-C,76.0,180,1,1972,[],EA,8,0,001,001,001,10,22,8,8,2,14,4,17,6500,246667,0.0,0.0,7.960242048335124,35.04672897196262,29.411764705882355,3
bauerca01w,3,0,SAC,27,0,F-C,76.0,180,1,1972,[],WE,6,0,001,001,001,14,18,10,6,4,12,8,13,6575,144179,0.0,0.0,5.632868121085691,33.80503144654088,29.82456140350877,7
